target,ligand,seed,affinity
enpp3,TZV_native,8,-10.0
enpp3,CHEMBL5915707,8,-7.5
enpp1,CHEMBL5826130,9,-7.9
enpp3,CHEMBL5555976,8,-7.7
enpp1,CHEMBL5915707,9,-7.9
enpp3,CHEMBL6149286,8,-11.0
enpp3,CHEMBL6174154,8,-10.2
enpp1,CHEMBL5555976,9,-8.3
enpp3,TZV_native,8,-10.0
enpp1,CHEMBL6149286,9,-9.3
enpp1,CHEMBL6174154,9,-8.8
enpp1,CHEMBL5826130,9,-7.9
enpp1,TZV_native,9,-8.4
enpp1,CHEMBL5915707,9,-7.9
enpp2,CHEMBL5826130,9,-7.2
enpp1,CHEMBL5555976,9,-8.3
enpp2,CHEMBL5915707,9,-6.7
enpp1,CHEMBL6149286,9,-9.3
enpp1,CHEMBL6174154,9,-8.8
enpp2,CHEMBL5555976,9,-8.2
enpp1,TZV_native,9,-8.4
enpp2,CHEMBL6149286,9,-9.8
enpp2,CHEMBL5826130,9,-7.2
enpp2,CHEMBL6174154,9,-8.8
enpp2,CHEMBL5915707,9,-6.7
enpp2,TZV_native,9,-8.5
enpp2,CHEMBL5555976,9,-8.2
enpp3,CHEMBL5826130,9,-7.7
enpp2,CHEMBL6149286,9,-9.8
enpp3,CHEMBL5915707,9,-7.6
enpp2,CHEMBL6174154,9,-8.8
enpp3,CHEMBL5555976,9,-7.7
enpp2,TZV_native,9,-8.5
enpp3,CHEMBL6149286,9,-11.0
enpp3,CHEMBL6174154,9,-10.1
enpp3,CHEMBL5826130,9,-7.7
enpp3,TZV_native,9,-10.0
enpp3,CHEMBL5915707,9,-7.6
enpp1,CHEMBL5826130,10,-7.9
enpp3,CHEMBL5555976,9,-7.7
enpp1,CHEMBL5915707,10,-7.9
enpp3,CHEMBL6149286,9,-11.0
enpp3,CHEMBL6174154,9,-10.1
enpp1,CHEMBL5555976,10,-8.2
enpp3,TZV_native,9,-10.0
enpp1,CHEMBL6149286,10,-9.1
enpp1,CHEMBL6174154,10,-8.8
enpp1,CHEMBL5826130,10,-7.9
enpp1,TZV_native,10,-9.1
enpp1,CHEMBL5915707,10,-7.9
enpp2,CHEMBL5826130,10,-7.4
enpp1,CHEMBL5555976,10,-8.2
enpp1,CHEMBL6149286,10,-9.1
enpp2,CHEMBL5915707,10,-6.7
enpp1,CHEMBL6174154,10,-8.8
enpp2,CHEMBL5555976,10,-8.2
enpp1,TZV_native,10,-9.1
enpp2,CHEMBL6149286,10,-10.1
enpp2,CHEMBL5826130,10,-7.4
enpp2,CHEMBL6174154,10,-8.8
enpp2,CHEMBL5915707,10,-6.7
enpp2,TZV_native,10,-8.5
enpp2,CHEMBL5555976,10,-8.2
enpp3,CHEMBL5826130,10,-7.7
enpp2,CHEMBL6149286,10,-10.1
enpp3,CHEMBL5915707,10,-7.6
enpp2,CHEMBL6174154,10,-8.8
enpp3,CHEMBL5555976,10,-7.7
enpp2,TZV_native,10,-8.5
enpp3,CHEMBL6149286,10,-10.9
enpp3,CHEMBL6174154,10,-10.2
enpp3,CHEMBL5826130,10,-7.7
enpp3,TZV_native,10,-10.0
enpp3,CHEMBL5915707,10,-7.6
enpp1,CHEMBL5826130,11,-7.8
enpp3,CHEMBL5555976,10,-7.7
enpp1,CHEMBL5915707,11,-7.9
enpp3,CHEMBL6149286,10,-10.9
enpp3,CHEMBL6174154,10,-10.2
enpp1,CHEMBL5555976,11,-8.3
enpp3,TZV_native,10,-10.0
enpp1,CHEMBL6149286,11,-9.4
enpp1,CHEMBL6174154,11,-8.8
enpp1,CHEMBL5826130,11,-7.8
enpp1,TZV_native,11,-8.8
enpp1,CHEMBL5915707,11,-7.9
enpp2,CHEMBL5826130,11,-7.2
enpp1,CHEMBL5555976,11,-8.3
enpp1,CHEMBL6149286,11,-9.4
enpp2,CHEMBL5915707,11,-6.8
enpp1,CHEMBL6174154,11,-8.8
enpp2,CHEMBL5555976,11,-7.9
enpp1,TZV_native,11,-8.8
enpp2,CHEMBL6149286,11,-10.1
enpp2,CHEMBL5826130,11,-7.2
enpp2,CHEMBL6174154,11,-8.8
enpp2,CHEMBL5915707,11,-6.8
enpp2,TZV_native,11,-8.5
enpp2,CHEMBL5555976,11,-7.9
enpp3,CHEMBL5826130,11,-7.7
enpp2,CHEMBL6149286,11,-10.1
enpp3,CHEMBL5915707,11,-7.5
enpp2,CHEMBL6174154,11,-8.8
enpp3,CHEMBL5555976,11,-7.7
enpp2,TZV_native,11,-8.5
enpp3,CHEMBL6149286,11,-11.0
enpp3,CHEMBL6174154,11,-10.1
enpp3,CHEMBL5826130,11,-7.7
enpp3,TZV_native,11,-10.0
enpp3,CHEMBL5915707,11,-7.5
enpp1,CHEMBL5826130,12,-7.9
enpp3,CHEMBL5555976,11,-7.7
enpp1,CHEMBL5915707,12,-7.9
enpp3,CHEMBL6149286,11,-11.0
enpp3,CHEMBL6174154,11,-10.1
enpp1,CHEMBL5555976,12,-8.3
enpp3,TZV_native,11,-10.0
enpp1,CHEMBL6149286,12,-9.2
enpp1,CHEMBL6174154,12,-8.8
enpp1,CHEMBL5826130,12,-7.9
enpp1,TZV_native,12,-8.7
enpp1,CHEMBL5915707,12,-7.9
enpp2,CHEMBL5826130,12,-7.4
enpp1,CHEMBL5555976,12,-8.3
enpp1,CHEMBL6149286,12,-9.2
enpp2,CHEMBL5915707,12,-6.8
enpp1,CHEMBL6174154,12,-8.8
enpp2,CHEMBL5555976,12,-9.0
enpp1,TZV_native,12,-8.7
enpp2,CHEMBL6149286,12,-10.1
enpp2,CHEMBL5826130,12,-7.4
enpp2,CHEMBL6174154,12,-8.8
enpp2,CHEMBL5915707,12,-6.8
enpp2,TZV_native,12,-8.5
enpp2,CHEMBL5555976,12,-9.0
enpp3,CHEMBL5826130,12,-7.7
enpp2,CHEMBL6149286,12,-10.1
enpp3,CHEMBL5915707,12,-7.3
enpp2,CHEMBL6174154,12,-8.8
enpp3,CHEMBL5555976,12,-7.7
enpp2,TZV_native,12,-8.5
enpp3,CHEMBL6149286,12,-11.0
enpp3,CHEMBL6174154,12,-10.2
enpp3,CHEMBL5826130,12,-7.7
enpp3,TZV_native,12,-9.9
enpp3,CHEMBL5915707,12,-7.3
enpp1,CHEMBL5826130,13,-7.9
